CustomerID,Recency,Frequency,Monetary
12447.0,152,1,476.49
12449.0,0,5,3493.18
12450.0,65,5,688.2
12451.0,127,5,8942.18
12453.0,43,1,707.09
12454.0,304,4,13151.44
12455.0,36,9,5589.45
12456.0,40,2,2265.4
12457.0,142,4,1699.93
12458.0,193,3,1272.01
12459.0,514,1,454.36
12460.0,365,1,326.65
12461.0,3,2,826.88
12462.0,212,1,762.11
12463.0,84,3,985.79
12464.0,15,6,780.55
12465.0,78,1,440.94
12466.0,591,1,56.73
12467.0,332,1,132.8
12468.0,96,5,3670.74
12469.0,431,2,3070.54
12470.0,598,1,211.95
12471.0,16,68,31256.14
12472.0,47,17,16236.08
12473.0,23,2,1186.25
12474.0,7,26,9410.72
12475.0,318,1,426.26
12476.0,50,18,10490.66
12477.0,9,6,15890.66
12480.0,52,6,4328.17
12481.0,88,13,10866.83
12482.0,485,29,23691.4
12483.0,7,17,4259.66
12484.0,9,10,5491.58
12485.0,438,1,708.1
12486.0,340,1,1037.28
12487.0,639,1,285.3
12489.0,245,1,334.93
12490.0,2,17,7958.3
12492.0,14,2,578.39
12493.0,74,2,433.74
12494.0,70,7,1495.63
12495.0,549,1,357.4
12496.0,529,2,54.09
12497.0,309,2,5205.4
12499.0,469,1,393.72
12500.0,15,14,3471.23
12501.0,245,1,2169.39
12502.0,4,5,3723.87
12503.0,493,1,1126.0
12504.0,326,2,297.0
12505.0,317,1,955.2
12506.0,141,1,73.5
12507.0,43,4,1844.06
12509.0,193,1,176.5
12510.0,51,9,5178.02
12511.0,337,1,3084.02
12513.0,21,1,612.29
12514.0,176,2,1597.76
12515.0,262,1,383.7
12516.0,89,3,1919.76
12517.0,35,2,1538.7
12518.0,19,1,324.83
12519.0,385,1,385.7
12520.0,51,4,2045.85
12521.0,51,1,599.68
12523.0,16,19,3600.13
12524.0,71,15,9762.87
12525.0,407,3,973.73
12526.0,3,1,520.3
12527.0,203,4,671.72
12528.0,23,4,1287.37
12529.0,437,1,316.48
12530.0,32,8,3318.63
12531.0,595,1,1807.98
12533.0,536,2,1367.89
12534.0,39,1,1089.18
12535.0,0,2,716.35
12537.0,317,1,732.94
12538.0,287,1,276.5
12539.0,171,6,10164.09
12540.0,1,27,18101.11
12541.0,82,2,536.14
12542.0,393,2,481.88
12543.0,357,1,980.25
12545.0,168,1,628.15
12547.0,106,3,383.58
12548.0,75,1,95.2
12549.0,484,6,1575.68
12551.0,266,1,168.0
12553.0,19,9,3336.06
12554.0,357,1,468.5
12555.0,591,1,129.23
12556.0,60,1,312.9
12557.0,67,7,15726.14
12559.0,219,2,561.71
12560.0,21,2,1436.31
12561.0,211,1,238.85
12562.0,35,5,2790.41
12563.0,317,1,249.24
12564.0,170,1,456.9
12565.0,197,1,145.92
12567.0,5,14,12158.56
12568.0,553,1,70.0
12569.0,1,15,2167.68
12570.0,591,1,77.52
12571.0,30,1,248.35
12573.0,136,5,717.41
12574.0,224,1,218.45
12575.0,366,2,622.82
12576.0,4,7,1763.44
12577.0,268,6,1191.84
12578.0,239,3,3456.6
12580.0,155,2,1052.9
12582.0,147,4,1980.4
12583.0,15,21,11398.27
12584.0,36,4,782.59
12585.0,143,2,2040.1
12586.0,283,3,1865.73
12588.0,308,3,743.88
12589.0,53,7,4180.48
12590.0,120,2,9864.26
12591.0,226,3,1352.15
12592.0,1,5,2582.66
12593.0,17,3,418.1
12594.0,30,13,4281.79
12595.0,413,1,299.02
12596.0,151,1,269.95
12597.0,92,2,1428.81
12598.0,70,7,3095.39
12599.0,35,12,2121.18
12600.0,21,19,4381.44
12601.0,98,6,681.26
12604.0,170,1,178.5
12605.0,285,4,1232.95
12606.0,591,1,21.0
12608.0,313,1,415.79
12609.0,95,8,3109.74
12610.0,15,2,1256.25
12613.0,106,9,4953.21
12614.0,186,1,315.6
12615.0,77,5,4084.53
12616.0,4,3,1131.1
12619.0,25,6,2227.6
12620.0,113,1,561.66
12621.0,9,30,21281.18
12622.0,141,1,180.1
12623.0,185,7,3747.84
12624.0,15,2,641.13
12625.0,120,4,5164.88
12626.0,21,6,4774.0
12627.0,5,5,2727.83
12629.0,294,2,1558.22
12631.0,365,5,2841.07
12632.0,429,2,804.88
12633.0,38,6,5462.93
12634.0,444,2,490.0
12635.0,63,3,1924.87
12636.0,647,1,141.0
12637.0,0,11,7981.91
12638.0,548,1,249.8
12639.0,147,3,1312.37
12641.0,24,1,185.9
12642.0,16,1,366.45
12643.0,37,12,8350.42
12644.0,38,4,1918.49
12645.0,18,7,3074.98
12647.0,35,33,17088.24
12648.0,63,4,1112.0
12649.0,16,8,2294.65
12651.0,243,4,377.75
12652.0,240,2,1017.03
12653.0,57,3,4160.83
12654.0,106,3,337.75
12655.0,332,1,261.35
12656.0,25,6,5177.33
12661.0,345,1,162.0
12662.0,16,16,5791.9
12663.0,533,2,239.4
12664.0,52,5,3145.64
12665.0,233,3,313.6
12666.0,303,1,1248.42
12668.0,168,9,10562.0
12669.0,59,3,2744.03
12670.0,7,5,2398.71
12671.0,515,1,2622.48
12672.0,238,2,437.05
12673.0,235,2,840.4
12674.0,0,3,1402.0
12675.0,462,2,958.5
12676.0,32,9,2509.75
12677.0,464,2,395.1
12678.0,9,18,24934.98
12679.0,114,2,906.38
12680.0,22,1,311.78
12681.0,60,38,26947.32
12682.0,9,41,19965.61
12683.0,1,18,10842.4
12684.0,79,4,1379.48
12685.0,1,2,1606.42
12686.0,280,1,178.28
12687.0,389,2,2138.91
12688.0,22,1,4873.81
12689.0,36,1,511.03
12690.0,114,1,389.01
12691.0,54,5,690.9
12692.0,546,1,110.95
12693.0,36,7,1703.02
12694.0,92,2,1413.18
12695.0,16,5,1158.92
12696.0,343,2,851.91
12697.0,40,2,733.91
12698.0,499,1,339.75
12699.0,326,1,638.11
12700.0,65,2,2149.05
12701.0,151,5,1985.78
12703.0,542,3,722.98
12704.0,14,3,1100.92
12705.0,67,9,9056.33
12707.0,200,1,603.42
12708.0,10,15,4632.96
12709.0,5,30,28587.61
12710.0,5,3,1149.02
12711.0,520,2,1339.05
12712.0,15,19,6710.61
12714.0,15,11,12774.55
12715.0,15,1,353.86
12716.0,42,1,677.9
12717.0,60,3,1308.91
12720.0,3,22,6168.78
12721.0,92,6,3055.86
12722.0,23,3,929.65
12724.0,82,5,1566.47
12725.0,280,4,2694.56
12726.0,93,9,2872.82
12727.0,4,9,5036.53
12728.0,166,4,851.15
12729.0,22,1,453.01
12730.0,430,1,829.25
12731.0,53,13,18204.05
12732.0,88,1,236.26
12733.0,143,4,2424.87
12734.0,261,3,639.65
12735.0,224,2,779.57
12736.0,241,1,234.0
12737.0,407,2,3710.5
12738.0,281,1,310.7
12739.0,8,3,2689.23
12741.0,438,2,406.07
12742.0,534,1,1201.52
12743.0,43,2,546.43
12744.0,53,9,18249.74
12745.0,395,3,925.41
12746.0,449,1,254.55
12747.0,18,23,7849.93
12748.0,0,259,36987.41
12749.0,39,7,5561.71
12750.0,37,1,275.88
12751.0,353,1,268.27
12753.0,44,5,16620.91
12754.0,144,3,3010.74
12755.0,189,11,9030.66
12757.0,51,7,5281.08
12758.0,25,7,9903.24
12759.0,80,7,4571.82
12760.0,364,1,347.8
12761.0,366,2,782.95
12763.0,47,2,814.16
12764.0,225,1,1693.88
12765.0,381,6,1404.58
12766.0,58,7,8030.84
12767.0,284,1,949.82
12768.0,359,1,168.69
12769.0,147,1,1143.6
12770.0,119,2,3246.45
12771.0,394,1,282.3
12773.0,473,1,124.25
12774.0,444,1,98.7
12775.0,98,6,1464.76
12776.0,576,1,55.5
12777.0,366,1,519.45
12778.0,92,7,1445.51
12779.0,98,13,5740.32
12780.0,507,1,337.4
12781.0,193,1,549.26
12782.0,58,10,4365.99
12784.0,438,1,1230.33
12785.0,273,3,1100.4
12786.0,518,1,728.5
12787.0,0,3,743.18
12788.0,372,4,444.9
12789.0,421,2,181.5
12790.0,101,2,591.85
12791.0,282,6,1056.11
12792.0,165,2,827.01
12793.0,243,3,1017.33
12794.0,7,1,317.0
12796.0,537,1,381.0
12797.0,274,2,806.11
12798.0,79,2,3140.93
12799.0,438,1,219.35
12800.0,379,3,584.25
12801.0,409,1,1071.82
12802.0,95,7,2416.42
12803.0,302,1,1092.81
12804.0,374,2,327.02
12805.0,290,4,1434.95
12806.0,344,4,2878.96
12807.0,292,1,330.35
12808.0,93,4,703.8
12809.0,86,3,1755.94
12810.0,443,2,534.99
12811.0,169,5,1033.9
12813.0,410,3,1687.8
12814.0,10,1,125.92
12815.0,56,2,1063.46
12816.0,4,2,572.2
12817.0,190,3,690.98
12818.0,170,1,1542.08
12819.0,367,1,540.52
12820.0,235,8,1917.64
12821.0,123,2,220.8
12823.0,36,17,5966.0
12825.0,430,2,518.63
12826.0,87,9,2299.65
12828.0,8,3,415.51
12829.0,245,3,385.3
12830.0,0,5,6414.32
12831.0,171,3,451.11
12832.0,7,1,267.8
12833.0,54,1,417.38
12834.0,191,1,312.38
12835.0,336,41,6043.31
12836.0,46,14,6085.29
12837.0,82,2,688.41
12838.0,282,9,3106.14
12839.0,1,21,7577.7
12840.0,52,7,4041.97
12841.0,15,32,6369.77
12842.0,217,3,1109.73
12843.0,68,29,6578.46
12844.0,39,3,497.52
12845.0,176,4,354.09
12846.0,591,1,15.58
12847.0,296,1,765.36
12848.0,584,1,208.0
12849.0,177,5,2744.17
12850.0,354,1,330.0
12851.0,5,2,284.13
12852.0,203,1,311.55
12853.0,43,11,3907.5
12854.0,150,6,2479.89
12855.0,281,4,650.94
12857.0,119,6,3688.0
12858.0,292,1,177.92
12859.0,367,1,575.1
12860.0,602,1,55.47
12861.0,528,1,68.25
12862.0,334,2,1008.32
12863.0,288,5,2271.35
12864.0,47,2,299.57
12865.0,32,3,2736.62
12866.0,192,3,1227.35
12867.0,5,12,6902.21
12868.0,94,8,2247.06
12869.0,590,1,337.67
12870.0,284,3,1676.95
12871.0,116,2,495.38
12872.0,235,12,3685.49
12873.0,191,3,2027.3
12874.0,294,2,948.42
12875.0,52,5,1356.99
12876.0,105,3,2590.2
12877.0,33,17,2478.63
12878.0,145,2,854.99
12879.0,0,1,140.5
12880.0,290,2,640.13
12881.0,184,1,298.0
12885.0,32,1,645.35
12886.0,128,1,775.0
12887.0,292,1,222.4
12888.0,123,2,354.12
12889.0,290,4,385.46
12890.0,296,1,336.8
12891.0,94,11,840.5
12892.0,305,1,263.38
12894.0,484,1,157.35
12897.0,113,4,514.25
12898.0,372,2,310.96
12899.0,322,1,366.4
12900.0,331,1,340.33
12901.0,17,19,11639.47
12902.0,173,1,138.68
12903.0,337,1,833.53
12904.0,81,1,244.69
12905.0,485,2,1018.42
12907.0,304,2,508.91
12908.0,85,5,1776.0
12909.0,110,6,2452.89
12910.0,43,9,4208.38
12911.0,460,1,1680.47
12913.0,191,11,5083.62
12914.0,309,1,223.98
12915.0,57,4,1174.75
12916.0,47,7,4654.02
12917.0,37,6,4359.2
12918.0,535,1,10953.5
12919.0,25,3,441.65
12920.0,480,3,323.86
12921.0,7,61,29417.42
12922.0,70,1,405.38
12923.0,299,2,612.9
12924.0,107,11,2190.97
12925.0,501,1,35.28
12926.0,320,4,1548.46
12927.0,303,1,197.31
12928.0,56,10,3378.33
12929.0,220,1,117.85
12930.0,80,1,221.56
12931.0,10,53,82822.08
12932.0,448,8,1698.56
12933.0,80,7,1436.99
12934.0,645,1,181.65
12935.0,18,12,3618.5
12937.0,106,7,2021.57
12939.0,47,16,21673.08
12941.0,633,1,377.49
12942.0,40,3,942.65
12943.0,467,2,496.5
12944.0,263,1,286.95
12945.0,197,2,900.11
12946.0,345,1,324.45
12947.0,52,6,1908.03
12948.0,14,6,1676.44
12949.0,23,21,14808.9
12951.0,82,14,2901.43
12953.0,431,1,498.96
12954.0,547,1,162.45
12955.0,1,6,1843.36
12956.0,215,4,521.89
12957.0,95,9,6404.72
12958.0,309,2,539.49
12959.0,393,1,150.95
12960.0,322,4,1322.07
12961.0,288,1,211.99
12962.0,22,1,170.54
12963.0,274,5,2110.76
12964.0,346,1,132.24
12967.0,267,3,4306.92
12968.0,21,1,135.95
12969.0,511,1,122.45
12970.0,231,8,1096.53
12971.0,1,94,12948.2
12972.0,322,4,1161.2
12973.0,322,1,385.55
12974.0,106,2,408.95
12975.0,345,6,2100.09
12976.0,120,8,3156.38
12977.0,65,4,517.63
12978.0,294,5,2502.82
12979.0,638,1,517.7
12980.0,66,21,16245.78
12981.0,42,1,187.18
12982.0,151,8,2744.81
12983.0,507,1,490.08
12986.0,337,10,2729.84
12987.0,106,4,1057.81
12988.0,201,1,535.32
12989.0,66,26,11096.78
12990.0,94,6,809.9
12991.0,21,2,564.62
12992.0,634,1,93.35
12993.0,29,7,1217.27
12994.0,29,2,645.47
12996.0,284,1,355.5
12997.0,145,6,1492.49
12998.0,401,3,920.08
12999.0,105,3,455.88
13000.0,15,4,1032.5
13001.0,67,31,22968.7
13002.0,227,3,414.13
13003.0,14,3,149.05
13004.0,23,30,9780.03
13005.0,82,4,999.68
13007.0,488,1,175.25
13008.0,232,3,612.13
13009.0,581,1,234.0
13010.0,283,2,330.12
13011.0,281,1,101.1
13012.0,57,7,2323.3
13013.0,1,25,11500.92
13014.0,22,6,3937.28
13015.0,106,10,5003.18
13016.0,32,1,425.25
13018.0,1,25,7561.17
13019.0,288,6,1229.95
13020.0,471,2,618.96
13021.0,75,12,3423.33
13022.0,338,1,65.3
13023.0,38,2,1095.53
13024.0,379,2,555.87
13025.0,640,1,323.39
13026.0,1,7,1361.92
13027.0,22,19,17335.2
13029.0,47,4,1453.0
13030.0,277,1,855.48
13031.0,316,5,3419.27
13032.0,301,7,1833.37
13033.0,266,2,220.55
13034.0,278,2,445.77
13035.0,169,2,775.32
13036.0,593,1,307.1
13037.0,47,12,3914.95
13038.0,92,2,591.76
13039.0,493,4,1010.73
13041.0,359,4,799.13
13042.0,507,3,1556.54
13043.0,182,1,516.42
13044.0,200,11,4853.9
13045.0,8,3,808.92
13046.0,175,2,517.66
13047.0,36,22,8239.63
13048.0,22,8,3623.35
13049.0,227,3,905.34
13050.0,15,31,11017.41
13051.0,487,2,155.8
13052.0,121,7,3168.53
13053.0,530,1,127.65
13055.0,122,2,1451.56
13056.0,460,1,209.48
13057.0,439,3,722.09
13058.0,60,1,47.55
13059.0,158,10,2303.17
13060.0,162,1,307.53
13062.0,100,1,346.98
13063.0,389,1,188.4
13064.0,61,4,1220.5
13065.0,282,5,1260.91
13067.0,318,2,393.05
13068.0,228,1,165.0
13069.0,8,34,9121.71
13070.0,101,4,751.7
13071.0,521,1,129.22
13072.0,175,1,177.15
13073.0,320,2,418.08
13074.0,420,4,1378.74
13075.0,38,1,919.61
13076.0,366,1,135.4
13077.0,199,10,2912.84
13078.0,15,46,23821.66
13079.0,0,3,258.58
13080.0,88,4,280.73
13081.0,52,25,49737.89
13082.0,35,21,7335.75
13083.0,334,1,91.68
13084.0,400,1,122.4
13085.0,66,8,2433.28
13086.0,291,1,439.33
13087.0,635,1,313.64
13088.0,326,1,236.11
13089.0,8,177,101236.52
13090.0,45,19,10104.29
13091.0,638,2,1976.0
13092.0,120,11,2102.2
13093.0,184,55,54943.65
13094.0,38,11,2051.52
13096.0,303,1,419.7
13097.0,31,26,12022.51
13098.0,3,18,15169.46
13099.0,8,1,207.36
13101.0,143,4,695.4
13102.0,42,32,10234.53
13103.0,346,2,465.7
13104.0,42,6,987.06
13105.0,345,1,72.0
13106.0,42,2,603.46
13107.0,84,7,4656.67
13108.0,281,2,1098.52
13109.0,66,2,717.34
13110.0,46,10,2511.04
13111.0,627,1,321.88
13112.0,450,1,20.6
13113.0,22,33,17166.83
13114.0,639,1,234.38
13115.0,93,7,4078.47
13116.0,47,1,501.14
13117.0,30,17,2500.67
13118.0,117,7,2017.3
13119.0,577,1,134.9
13120.0,147,1,30.6
13121.0,178,1,283.73
13122.0,3,2,922.39
13123.0,381,2,506.75
13124.0,161,3,3490.24
13125.0,432,1,158.57
13126.0,162,10,2976.03
13128.0,540,1,263.5
13129.0,361,2,233.25
13130.0,3,1,64.0
13131.0,96,5,2565.37
13132.0,170,1,77.3
13133.0,182,3,200.45
13134.0,92,5,1567.39
13135.0,105,2,3371.45
13136.0,51,11,4893.63
13137.0,1,13,5993.33
13138.0,42,4,994.3
13139.0,18,4,4848.98
13140.0,17,5,1215.68
13141.0,123,16,6680.86
13143.0,493,1,405.1
13144.0,241,2,135.35
13145.0,0,6,1304.72
13147.0,8,1,118.8
13148.0,42,24,7704.56
13149.0,15,3,1132.62
13150.0,393,3,449.97
13151.0,204,3,2580.74
13152.0,326,7,2146.38
13154.0,308,3,1624.84
13155.0,235,4,1347.62
13156.0,294,3,1586.54
13157.0,50,8,4819.34
13158.0,3,5,1508.18
13159.0,15,2,851.59
13161.0,222,2,478.88
13162.0,31,16,9275.49
13163.0,519,1,17.65
13164.0,478,2,372.2
13165.0,260,2,784.32
13166.0,192,2,884.18
13167.0,39,3,751.37
13168.0,108,4,1528.78
13169.0,161,2,632.4
13171.0,208,1,140.35
13172.0,309,1,69.6
13173.0,276,10,2451.64
13174.0,225,11,8786.08
13175.0,491,2,831.45
13177.0,339,1,229.75
13178.0,42,18,12725.45
13179.0,527,1,572.31
13180.0,516,1,86.1
13181.0,290,1,359.69
13183.0,10,12,5473.38
13184.0,39,9,1504.44
13185.0,176,1,71.4
13186.0,2,2,1301.94
13187.0,246,4,367.01
13189.0,24,1,127.0
13190.0,453,3,570.66
13191.0,567,1,164.69
13192.0,4,6,2558.58
13194.0,44,2,472.78
13195.0,323,1,172.38
13196.0,171,4,1783.19
13197.0,518,1,373.01
13198.0,29,7,4582.17
13199.0,1,51,11355.93
13200.0,35,1,319.32
13201.0,411,4,1240.61
13202.0,303,7,1580.3
13203.0,29,8,2088.65
13204.0,640,1,966.66
13205.0,352,1,2803.2
13206.0,309,13,8377.32
13207.0,59,3,483.12
13208.0,64,7,1599.67
13209.0,37,10,6773.98
13210.0,2,1,353.48
13211.0,4,9,2418.54
13213.0,37,10,3294.82
13214.0,326,7,3264.23
13215.0,311,1,81.6
13216.0,176,1,333.74
13217.0,31,4,666.48
13218.0,36,1,62.64
13219.0,527,1,76.23
13220.0,94,4,1243.29
13221.0,149,2,847.41
13222.0,486,1,88.5
13223.0,109,6,969.12
13224.0,60,1,1212.26
13225.0,52,14,14095.79
13226.0,182,2,312.46
13227.0,110,1,257.7
13229.0,134,1,160.95
13230.0,47,28,5787.99
13232.0,7,5,1048.3
13233.0,245,3,875.58
13234.0,581,2,356.95
13235.0,121,1,1031.07
13236.0,15,1,439.23
13237.0,296,1,643.0
13238.0,72,4,624.75
13239.0,170,5,1594.69
13240.0,5,8,1738.52
13241.0,320,1,115.58
13242.0,21,7,699.4
13243.0,112,5,1278.04
13244.0,1,1,121.74
13245.0,341,1,558.72
13246.0,85,10,3261.12
13248.0,33,2,465.68
13249.0,1,9,1608.93
13250.0,369,2,256.04
13251.0,311,1,252.68
13252.0,303,2,399.3
13253.0,65,4,2951.11
13254.0,285,1,51.41
13255.0,282,2,730.65
13257.0,345,1,149.75
13258.0,114,3,561.22
13259.0,306,8,1141.06
13261.0,177,2,944.1
13262.0,172,3,573.45
13263.0,17,27,6121.3
13264.0,351,1,722.56
13265.0,92,3,1465.66
13266.0,21,15,4836.36
13267.0,1,32,8356.11
13268.0,78,6,2150.25
13269.0,18,21,6526.92
13270.0,275,1,1180.0
13273.0,22,1,138.98
13274.0,318,1,360.85
13275.0,292,2,241.66
13276.0,8,4,1485.71
13277.0,25,5,390.8
13278.0,308,3,893.12
13280.0,31,7,2322.63
13281.0,348,1,350.85
13282.0,71,3,954.15
13283.0,94,3,305.2
13284.0,239,1,201.19
13285.0,70,5,2625.57
13286.0,509,1,734.91
13287.0,512,3,781.59
13288.0,352,5,927.61
13289.0,632,1,307.95
13290.0,347,1,208.63
13291.0,64,11,3320.84
13292.0,193,4,665.14
13293.0,301,6,1192.94
13294.0,98,3,1689.53
13295.0,268,4,1101.97
13296.0,46,6,792.51
13297.0,294,3,2278.77
13299.0,177,3,1218.7
13300.0,78,3,1285.51
13301.0,12,4,618.09
13302.0,64,2,159.2
13303.0,309,1,61.72
13304.0,260,4,1217.99
13305.0,1,14,3225.1
13306.0,339,1,53.65
13307.0,29,3,273.34
13308.0,112,2,1099.81
13309.0,115,3,796.22
13310.0,115,4,1226.82
13311.0,59,1,490.11
13312.0,360,1,124.75
13313.0,50,10,2808.34
13315.0,598,1,310.26
13316.0,40,8,10993.82
13317.0,107,18,5526.39
13319.0,0,51,18627.42
13320.0,15,5,1660.55
13324.0,112,15,7190.51
13326.0,341,1,281.76
13327.0,21,19,8990.46
13328.0,225,1,1308.48
13329.0,275,7,4628.17
13330.0,1,6,2806.18
13331.0,310,1,262.4
13333.0,320,3,1015.74
13334.0,99,4,5458.77
13337.0,455,1,1575.26
13338.0,66,4,2445.62
13339.0,109,1,860.12
13340.0,14,10,20593.62
13341.0,169,1,775.85
13343.0,86,1,353.43
13344.0,186,1,1656.15
13345.0,196,1,389.5
13346.0,371,6,299.4
13355.0,31,1,674.7
13357.0,166,5,3838.36
13358.0,177,1,439.03
13359.0,312,1,603.75
13360.0,340,4,1553.65
13361.0,381,2,1450.5
13362.0,154,5,3884.86
13363.0,318,1,731.36
13365.0,126,1,700.6
13367.0,340,1,510.2
13368.0,165,4,1121.5
13369.0,274,1,616.56
13370.0,280,1,1509.74
13371.0,414,2,2297.66
13373.0,67,5,6330.52
13374.0,323,2,422.8
13375.0,353,1,1013.58
13376.0,8,3,1019.76
13377.0,305,2,1552.88
13379.0,45,1,136.29
13380.0,341,1,62.4
13381.0,22,10,7046.39
13382.0,189,5,1387.58
13383.0,452,1,305.28
13384.0,37,6,4284.74
13385.0,238,1,534.57
13386.0,323,2,835.46
13387.0,326,1,189.44
13388.0,40,3,1185.65
13389.0,141,1,257.89
13391.0,112,1,59.8
13392.0,586,1,91.14
13393.0,492,4,1131.45
13394.0,24,16,5645.13
13395.0,94,3,1180.23
13396.0,228,1,387.27
13397.0,19,9,2875.93
13398.0,101,2,670.34
13399.0,373,3,275.4
13400.0,491,1,310.83
13402.0,36,4,1535.13
13403.0,296,2,154.5
13404.0,121,1,217.81
13405.0,113,5,1198.81
13406.0,336,2,568.92
13407.0,487,3,2244.7
13408.0,8,85,41453.1
13410.0,96,7,1743.94
13411.0,16,1,213.55
13412.0,529,1,487.35
13413.0,548,6,429.44
13414.0,42,6,2494.14
13415.0,381,4,800.67
13416.0,645,1,228.3
13417.0,114,5,1264.66
13418.0,7,28,10850.3
13420.0,58,2,159.85
13421.0,199,7,3077.08
13423.0,337,1,217.03
13424.0,358,1,572.77
13425.0,17,5,3403.63
13426.0,91,17,6084.74
13427.0,29,5,888.79
13428.0,423,2,281.51
13431.0,315,6,2047.14
13432.0,480,2,439.1
13433.0,410,4,658.32
13434.0,5,4,1205.46
13435.0,19,5,1753.46
13437.0,8,4,2173.6
13438.0,456,1,46.5
13439.0,164,3,986.61
13440.0,332,7,1295.25
13441.0,0,2,720.9
13442.0,576,3,419.87
13443.0,357,6,1280.16
13444.0,283,2,631.68
13445.0,535,1,241.9
13446.0,339,11,3881.89
13448.0,127,11,7124.76
13450.0,33,11,3497.78
13451.0,35,10,6678.16
13452.0,168,3,729.8
13453.0,74,3,781.69
13454.0,550,1,219.87
13455.0,275,5,2540.53
13456.0,64,3,855.06
13457.0,597,2,148.22
13458.0,8,12,9991.12
13459.0,533,2,1160.41
13461.0,47,5,3599.2
13462.0,161,5,1153.85
13464.0,303,5,2422.96
13465.0,355,2,931.12
13466.0,93,5,1013.35
13468.0,1,64,12424.56
13469.0,562,1,82.4
13470.0,8,2,165.0
13472.0,372,2,592.24
13473.0,241,7,2476.38
13474.0,145,3,663.79
13475.0,100,4,1431.78
13476.0,87,5,2061.47
13477.0,47,9,2279.14
13478.0,378,5,2215.78
13479.0,109,4,851.37
13480.0,325,2,627.82
13481.0,17,10,3387.61
13482.0,141,2,336.09
13484.0,150,3,790.72
13485.0,142,11,3019.22
13486.0,37,2,819.61
13487.0,122,4,680.27
13488.0,29,19,13215.95
13489.0,14,4,449.52
13490.0,563,1,154.25
13491.0,56,26,4439.19
13492.0,45,3,1269.84
13493.0,184,2,618.63
13494.0,220,1,316.26
13495.0,141,8,4401.82
13496.0,268,1,501.01
13497.0,191,6,1320.33
13498.0,639,1,327.38
13499.0,134,2,463.79
13500.0,31,2,625.93
13501.0,197,3,2885.11
13502.0,183,4,677.66
13503.0,388,5,1688.54
13505.0,75,3,2583.12
13506.0,225,5,1639.2
13507.0,7,3,2022.79
13508.0,152,2,287.05
13509.0,8,6,840.02
13510.0,4,9,3664.54
13511.0,585,1,282.76
13512.0,169,4,713.39
13513.0,35,3,824.59
13514.0,337,3,663.7
13515.0,26,5,898.66
13516.0,147,2,441.85
13517.0,15,2,1612.18
13519.0,351,1,220.46
13520.0,46,10,6233.03
13523.0,108,4,3505.88
13524.0,10,3,408.86
13525.0,157,1,282.88
13526.0,647,2,1182.0
13527.0,14,9,3762.65
13529.0,113,1,181.1
13530.0,543,1,402.98
13531.0,114,6,1738.52
13533.0,91,3,270.79
13534.0,16,31,6222.35
13535.0,311,1,89.5
